title,year,id,video_page,subtitle_page
Abraham Lincoln,1930,abraham-lincoln-1930,https://archive.org/details/AbrahamLincoln1930WalterHustonRESTORED,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-50581
Africa Screams,1949,africa-screams-1949,https://archive.org/details/AfricaScreams,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-46019
Algiers,1938,algiers-1938,https://archive.org/details/Algiers_868,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-29443
Aladdin and His Wonderful Lamp,1939,aladdin-and-his-wonderful-lamp-1939,https://archive.org/details/1939ALADDINANDHISWONDERFULLAMPPOPEYECARTOON1,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-988516
The Amazing Mr. X,1948,the-amazing-mr-x-1948,https://archive.org/details/TheAmazingMr.X1948Avi,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-53641
Angel and the Badman,1947,angel-and-the-badman-1947,https://archive.org/details/angel_and_the_badman,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-6854
The Animal Kingdom,1932,the-animal-kingdom-1932,https://archive.org/details/the-animal-kingdom-1932-colorized-movie-720p-hd,https://www.opensubtitles.org/en/subtitles/7376686/the-animal-kingdom-en
At War with the Army,1950,at-war-with-the-army-1950,https://archive.org/details/dfwiv-At_War_With_The_Army_-_1950_W_Dean_Martin_Jerry_Lewis,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-15258
Attack of the Giant Leeches,1959,attack-of-the-giant-leeches-1959,https://archive.org/details/AttackOfTheGiantLeeches1959,https://www.opensubtitles.org/en/subtitles/9384581/attack-of-the-giant-leeches-en
The Bat,1959,the-bat-1959,https://archive.org/details/PhantasmagoriaTheater-TheBat1959653,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-13446
Beat the Devil,1953,beat-the-devil-1953,https://archive.org/details/BeatTheDevil1953,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-27819
Beau Ideal,1931,beau-ideal-1931,https://archive.org/details/BeauIdeal,
Becky Sharp,1935,becky-sharp-1935,https://archive.org/details/BeckySharp1935,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-122082
Behind Office Doors,1931,behind-office-doors-1931,https://archive.org/details/BehindOfficeDoors,
Bird of Paradise,1932,bird-of-paradise-1932,https://archive.org/details/bird.-of.-paradise.-1932.1080p.-blu-ray.-h-264.-aac-rarbg,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-46443
Blood on the Sun,1945,blood-on-the-sun-1945,https://archive.org/details/BloodOnTheSun1945JAMESCAGNEY,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-16077
Blue Steel,1934,blue-steel-1934,https://archive.org/details/BlueSteel,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-27200
Bowery at Midnight,1942,bowery-at-midnight-1942,https://archive.org/details/boweryatmidnight1942_201910,
The Brain That Wouldn't Die,1962,the-brain-that-wouldn't-die-1962,https://archive.org/details/the_brain_that_wouldnt_die,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-23148
Brideless Groom,1947,brideless-groom-1947,https://archive.org/details/TheThreeStooges101BridelessGroom1947ShempLarryMoeDaBaron16m56s,
